Year,Hit,No.,Title,Artist(s)
1993,1,96,"""If I Ever Lose My Faith in You""","Sting
"
1993,1,97,"""Anniversary""","Tony! Toni! Toné!
"
1993,1,98,"""One Woman""","Jade
"
1993,1,99,"""Can't Get Enough of Your Love""","Taylor Dayne
"
1993,1,100,"""Two Steps Behind""","Def Leppard
"
1994,1,1,"""The Sign""","Ace of Base
"
1994,1,2,"""I Swear""","All-4-One
"
1994,1,3,"""I'll Make Love to You""","Boyz II Men
"
1994,1,4,"""The Power of Love""","Céline Dion
"
1994,1,5,"""Hero""","Mariah Carey
"
1994,1,6,"""Stay (I Missed You)""","Lisa Loeb and Nine Stories
"
1994,1,7,"""Breathe Again""","Toni Braxton
"
1994,1,8,"""All for Love""","Bryan Adams, Rod Stewart and Sting
"
1994,1,9,"""All That She Wants""","Ace of Base
"
1994,1,10,"""Don't Turn Around""","Ace of Base
"
1994,1,11,"""Bump n' Grind""","R. Kelly
"
1994,1,12,"""Again""","Janet Jackson
"
1994,1,13,"""I'll Remember""","Madonna
"
1994,1,14,"""Whatta Man""","Salt-n-Pepa featuring En Vogue
"
1994,1,15,"""Wild Night""","John Mellencamp with Meshell Ndegeocello
"
1994,1,16,"""Without You"" / ""Never Forget You""","Mariah Carey
"
1994,1,17,"""You Mean the World to Me""","Toni Braxton
"
1994,1,18,"""Can You Feel the Love Tonight""","Elton John
"
1994,1,19,"""The Most Beautiful Girl in the World""","Prince
"
1994,1,20,"""Fantastic Voyage""","Coolio
"
1994,1,21,"""Baby, I Love Your Way""","Big Mountain
"
1994,1,22,"""Regulate""","Warren G and Nate Dogg
"
1994,1,23,"""If You Go""","Jon Secada
"
1994,1,24,"""Back & Forth""","Aaliyah
"
1994,1,25,"""Now and Forever""","Richard Marx
"
1994,1,26,"""When Can I See You""","Babyface
"
1994,1,27,"""Please Forgive Me""","Bryan Adams
"
1994,1,28,"""So Much in Love""","All-4-One
"
1994,1,29,"""Shoop""","Salt-n-Pepa
"
1994,1,30,"""Any Time, Any Place"" / ""And On and On""","Janet Jackson
"
1994,1,31,"""Shine""","Collective Soul
"
1994,1,32,"""Said I Loved You...But I Lied""","Michael Bolton
"
1994,1,33,"""Return to Innocence""","Enigma
"
1994,1,34,"""All I Wanna Do""","Sheryl Crow
"
1994,1,35,"""Mmm Mmm Mmm Mmm""","Crash Test Dummies
"
1994,1,36,"""Can We Talk""","Tevin Campbell
"
1994,1,37,"""Funkdafied""","Da Brat
"
1994,1,38,"""I'd Do Anything for Love (But I Won't Do That)""","Meat Loaf
"
1994,1,39,"""Gangsta Lean""","DRS
"
1994,1,40,"""Because the Night""","10,000 Maniacs
"
1994,1,41,"""Cantaloop (Flip Fantasia)""","Us3
"
1994,1,42,"""Whoomp! (There It Is)""","Tag Team
"
1994,1,43,"""Come to My Window""","Melissa Etheridge
"
1994,1,44,"""Stroke You Up""","Changing Faces
"
1994,1,45,"""I'm Ready""","Tevin Campbell
"
1994,1,46,"""100% Pure Love""","Crystal Waters
"
1994,1,47,"""Anytime You Need a Friend""","Mariah Carey
"
1994,1,48,"""Because of Love""","Janet Jackson
"
1994,1,49,"""Linger""","The Cranberries
"
1994,1,50,"""Loser""","Beck
"
1994,1,51,"""Found Out About You""","Gin Blossoms
"
1994,1,52,"""Gin and Juice""","Snoop Doggy Dogg
"
1994,1,53,"""Never Lie""","Immature
"
1994,1,54,"""Streets of Philadelphia""","Bruce Springsteen
"
1994,1,55,"""Getto Jam""","Domino
"
1994,1,56,"""Endless Love""","Luther Vandross and Mariah Carey
"
1994,1,57,"""I Miss You""","Aaron Hall
"
1994,1,58,"""Understanding""","Xscape
"
1994,1,59,"""This D.J.""","Warren G
"
1994,1,60,"""Cry for You""","Jodeci
"
1994,1,61,"""Keep Ya Head Up""","2Pac
"
1994,1,62,"""What's My Name?""","Snoop Doggy Dogg
"
1994,1,63,"""Another Night""","Real McCoy
"
1994,1,64,"""Your Body's Callin'""","R. Kelly
"
1994,1,65,"""Tootsee Roll""","69 Boyz
"
1994,1,66,"""I Can See Clearly Now""","Jimmy Cliff
"
1994,1,67,"""Never Keeping Secrets""","Babyface
"
1994,1,68,"""Crazy""","Aerosmith
"
1994,1,69,"""Just Kickin' It""","Xscape
"
1994,1,70,"""(At Your Best) You Are Love""","Aaliyah
"
1994,1,71,"""Rock and Roll Dreams Come Through""","Meat Loaf
"
1994,1,72,"""Amazing""","Aerosmith
"
1994,1,73,"""Always""","Erasure
"
1994,1,74,"""Groove Thang""","Zhané
"
1994,1,75,"""Dreams""","Gabrielle
"
1994,1,76,"""Mr. Vain""","Culture Beat
"
1994,1,77,"""Mary Jane's Last Dance""","Tom Petty and the Heartbreakers
"
1994,1,78,"""Anything""","SWV
"
1994,1,79,"""Beautiful in My Eyes""","Joshua Kadison
"
1994,1,80,"""Stay""","Eternal
"
1994,1,81,"""Flava in Ya Ear""","Craig Mack
"
1994,1,82,"""U.N.I.T.Y.""","Queen Latifah
"
1994,1,83,"""Prayer for the Dying""","Seal
"
1994,1,84,"""Secret""","Madonna
"
1994,1,85,"""Here Comes the Hotstepper""","Ini Kamoze
"
1994,1,86,"""Everyday""","Phil Collins
"
1994,1,87,"""Don't Take the Girl""","Tim McGraw
"
